Chord,Note
A-minor triad,C5
G-major triad,D5
C-major triad,E5
A-minor triad,E5
D-major triad,D5
D-incomplete dominant-seventh chord,C5
G-major triad,B4
G-major triad,B4
C-major triad,C5
C-major seventh chord,B4
F-major triad,A4
F-major triad,A4
B-major triad,B4
D#-diminished triad,A4
E-minor triad,G4
G-major triad,G4
G-dominant seventh chord,F4
C-major-second major tetrachord,E4
F-major triad,A4
A-minor triad,A4
B-diminished triad,B4
E-major triad,G#4
A-major triad,A4
G-major triad,D4
G-major triad,G4
D-major triad,A4
G-major triad,B4
C-major triad,C5
G-major triad,D5
D-dominant seventh chord,C5
G-major triad,B4
C-major triad,E5
D-major triad,D5
C-major triad,C5
G-major triad,B4
C-major triad,C5
G-quartal trichord,A4
G-major triad,G4
G-major triad,D5
C-major triad,E5
A-major triad,E5
D-major triad,A4
D-dominant seventh chord,A4
G-major triad,D5
G-major triad,D5
C-major triad,G4
G-major triad,B4
A-major triad,A4
G-major triad,G4
D-major triad,F#4
E-minor triad,G4
D-quartal trichord,E4
D-major triad,D4
G-major triad,D5
C-major triad,C5
G-major triad,B4
D-major triad,A4
G-major triad,B4
G-quartal trichord,A4
G-major triad,G4
D-major triad,D5
B-minor triad,D5
F#-minor triad,C#5
G-major triad,B4
D-major triad,A4
B-minor triad,D5
E-minor seventh chord,E5
D-major triad,F#5
F#-major triad,F#5
B-minor triad,F#5
B-minor seventh chord,F#5
E-dominant seventh chord,E5
D-major triad,F#5
A-dominant seventh chord,G5
D-major triad,F#5
A-major triad,E5
B-minor triad,D5
A-major triad,E5
D-major triad,F#5
E-minor seventh chord,E5
B-minor triad,D5
G-major triad,B4
C#-half-diminished seventh chord,C#5
B-minor triad,D5
A-major triad,A5
D-major triad,F#5
B-minor triad,D5
A-major triad,E5
A-incomplete dominant-seventh chord,G5
D-major triad,F#5
E-minor triad,E5
D-major triad,D5
F-major triad,C5
F-major triad,C5
Major Third with octave doublings above C,C5
F-major triad,C5
D-minor triad,D5
C-minor triad,E-5
Bb-major triad,D5
F-major triad,C5
G-minor triad,B-4
C-major triad,C5
C-dominant seventh chord,B-4
F-major triad,A4
F-quartal trichord,G4
F-major triad,F4
G-quartal tetramirror,G4
F-major triad,A4
G-major triad,B4
C-major triad,C5
D-incomplete minor-seventh chord,D5
C-quartal trichord,D5
Major Third with octave doublings above C,C5
F-major triad,C5
D-minor triad,F5
C-major triad,E5
G-major triad,D5
C-major triad,E5
F-major triad,F5
A-minor seventh chord,E5
G-major triad,D5
Major Third with octave doublings above C,C5
F-major triad,C5
F-major triad,F5
F-major triad,C5
Bb-major triad,D5
D-minor triad,A4
Bb-major triad,B-4
C-major triad,C5
G-minor triad,B-4
D-major triad,A4
F-major triad,A4
C-major triad,G4
A-minor triad,A4
Bb-major triad,B-4
F-major triad,A4
C-major triad,G4
G-minor triad,D4
C-major triad,E4
Major Third with octave doublings above F,F4
B-minor triad,D5
D-major triad,D5
G-major triad,B4
C#-tritone-fourth,C#5
D-major triad,D5
D-quartal trichord,E5
D-major triad,F#5
E-dominant seventh chord,E5
A-major triad,E5
D-major triad,D5
G#-diminished triad,D5
A-major triad,C#5
E-minor triad,B4
C#-diminished triad,C#5
B-minor triad,D5
E-minor triad,E5
B-minor triad,D5
C#-half-diminished seventh chord,C#5
B-minor triad,B4
A-major triad,E5
D-major triad,F#5
Minor Third with octave doublings above F#,F#5
A-major triad,C#5
D-major seventh chord,D5
A#-diminished seventh chord,E5
B-minor triad,D5
E#-diminished seventh chord,D5
F#-major triad,C#5
B-minor triad,D5
E-major triad,E5
E-major triad,B4
C#-minor triad,C#5
D-major triad,D5
A-major triad,C#5
B-dominant seventh chord,B4
E-major triad,B4
A-major triad,A4
G#-diminished triad,D5
A-major triad,C#5
E-major triad,B4
A#-diminished triad,C#5
B-minor triad,D5
E-minor triad,E5
B-minor triad,D5
C#-half-diminished seventh chord,C#5
B-minor triad,B4
A-major triad,A4
D-minor triad,A4
Bb-major triad,B-4
Bb-quartal trichord,C5
Bb-major triad,D5
F-major triad,C5
C-dominant seventh chord,B-4
A-minor seventh chord,A4
C-dominant seventh chord,B-4
F-major triad,A4
F-major triad,A4
Bb-major triad,B-4
C-major triad,C5
D-minor triad,F4
C-major triad,G4
F-major triad,A4
G-minor triad,G4
F-major triad,F4
F-major triad,A4
D-minor triad,A4
Bb-major triad,B-4
C-incomplete dominant-seventh chord,C5
G-minor triad,D5
C-incomplete dominant-seventh chord,C5
G-quartal tetramirror,B-4
F-major triad,A4
D-minor triad,A4
G-minor seventh chord,B-4
F-major triad,C5
Bb-major triad,F4
C-dominant seventh chord,G4
F-major-second major tetrachord,A4
Bb-quartal trichord,B-4
F-quartal trichord,G4
F-major triad,F4
G-major triad,G4
C-major triad,G4
F-perfect-fourth major tetrachord,A4
G-minor seventh chord,B-4
C-incomplete dominant-seventh chord,B-4
Major Third with octave doublings above C,C5
F-major triad,A4
F#-diminished seventh chord,A4
G-dominant seventh chord,G4
C-minor triad,C5
D-quartal tetramirror,D5
C-minor triad,E-5
D-half-diminished seventh chord,D5
C-quartal trichord,C5
G-dominant seventh chord,B4
Major Third with octave doublings above C,C5
C-major triad,C5
F-major triad,C5
G-quartal tetramirror,B-4
F-major triad,A4
Bb-major triad,B-4
Bb-quartal trichord,C5
D-minor seventh chord,D5
F-dominant seventh chord,E-5
Bb-major triad,D5
C-dominant seventh chord,G4
F-major triad,A4
D-minor triad,A4
G-minor seventh chord,G4
A-minor seventh chord,G4
F-major triad,F4
D-major triad,A4
E-quartal tetramirror,G4
D-major triad,F#4
G-major-second major tetrachord,B4
A-dominant seventh chord,C#5
B-minor triad,D5
D-major-second major tetrachord,D5
A-major triad,C#5
E-minor triad,B4
C#-half-diminished seventh chord,C#5
D-major triad,D5
A-major triad,A4
A-dominant seventh chord,G4
D-major triad,F#4
G-major triad,G4
D-major triad,F#4
B-quartal tetramirror,E4
D-major triad,D4
D-major triad,A4
E-quartal tetramirror,G4
D-major triad,F#4
G-major-second major tetrachord,B4
A-dominant seventh chord,C#5
B-minor triad,D5
D-major-second major tetrachord,D5
A-major triad,C#5
E-minor triad,B4
C#-half-diminished seventh chord,C#5
D-major triad,D5
A-major triad,A4
A-dominant seventh chord,G4
D-major triad,F#4
G-major triad,G4
D-major triad,F#4
B-quartal tetramirror,E4
D-major triad,D4
B-major triad,F#4
E-major-second major tetrachord,G#4
F#-dominant seventh chord,A#4
G-incomplete major-seventh chord,B4
C#-half-diminished seventh chord,C#5
B-minor triad,D5
F#-major triad,C#5
B-minor triad,B4
C#-diminished triad,C#5
D-major triad,D5
D-quartal trichord,E5
D-major triad,F#5
E-minor seventh chord,E5
A-major triad,E5
D-major triad,D5
A-minor triad,E4
F-major seventh chord,A4
E-major-diminished tetrachord,B4
A-minor triad,C5
B-incomplete dominant-seventh chord,B4
A-dominant seventh chord,A4
B-major triad,B4
E-major-second major tetrachord,G#4
F#-half-diminished seventh chord,F#4
E-major triad,E4
C#-diminished triad,G4
A-incomplete dominant-seventh chord,G4
D-minor triad,F4
E-dominant seventh chord,E4
B-half-diminished seventh chord,A4
D#-diminished seventh chord,A4
E-major triad,G#4
A-major triad,A4
E-major triad,B4
A-minor triad,C5
G-dominant seventh chord,D5
Major Third with octave doublings above C,E5
A-minor triad,E5
D-minor triad,D5
G-dominant seventh chord,D5
C-major triad,C5
C-major triad,E5
D-incomplete minor-seventh chord,D5
D#-diminished seventh chord,C5
E-major triad,B4
F-major triad,A4
D#-diminished seventh chord,C5
F-minor-second quartal tetrachord,B4
A-major triad,A4
D-minor triad,D4
C#-diminished triad,E4
D-minor triad,F4
E-half-diminished seventh chord,E4
D-minor triad,F4
G-minor seventh chord,G4
F-major triad,A4
F-major triad,A4
C-major triad,C5
G#-diminished seventh chord,B4
D#-diminished seventh chord,A4
A-quartal trichord,A4
E-incomplete dominant-seventh chord,G#4
A-minor triad,A4
A-minor triad,A4
G#-minor-second diminished tetrachord,B4
A-minor triad,C5
D-major triad,D5
D-dominant seventh chord,C5
G-major-diminished tetrachord,B4
C-major triad,C5
C-dominant seventh chord,B-4
F-major triad,A4
F-major triad,A4
G-minor triad,G4
B-diminished seventh chord,F4
F-quartal trichord,F4
C-major triad,E4
F-major triad,F4
A-major triad,A4
A-dominant seventh chord,G4
D-minor triad,F4
G-minor seventh chord,G4
F-major-second major tetrachord,A4
G-dominant seventh chord,G4
D-major-second minor tetrachord,F4
A-major triad,E4
D-minor triad,F4
E-incomplete minor-seventh chord,G4
D-minor triad,F4
D-quartal trichord,E4
D-minor triad,D4
F#-minor triad,A4
A-major triad,A4
A-major triad,A4
D-major triad,A4
B-major triad,B4
E-minor triad,G4
B-dominant seventh chord,F#4
E-major triad,E4
E-major triad,B4
A-major triad,C#5
E-major triad,B4
F#-minor triad,A4
E-major triad,G#4
F#-minor seventh chord,F#4
E-major triad,G#4
B-dominant seventh chord,F#4
E-major triad,E4
E-dominant seventh chord,E4
Minor Sixth with octave doublings above C#,A4
F#-half-diminished seventh chord,A4
B-dominant seventh chord,A4
B-major triad,B4
E-major triad,G#4
E-quartal trichord,F#4
Major Third with octave doublings above E,E4
E-major triad,B4
A-major triad,C#5
E-major triad,B4
A-major triad,A4
E-major triad,G#4
D#-phrygian trichord,F#4
A-major seventh chord,G#4
B-major triad,F#4
E-major triad,E4
C#-minor triad,E5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
A-major triad,A4
D-major triad,A4
G#-diminished triad,B4
Major Third with octave doublings above A,C#5
E-major triad,B4
A#-diminished triad,C#5
B-minor triad,D5
A#-diminished triad,C#5
B-minor triad,B4
F#-major triad,A#4
B-minor triad,B4
C#-minor triad,E4
F#-minor triad,A4
E-major triad,B4
A-major triad,C#5
D-major triad,D5
Minor Third with octave doublings above C#,E5
B-minor triad,D5
D-major seventh chord,C#5
E-major triad,B4
D-major triad,D5
A-major triad,C#5
E-major triad,B4
E-major triad,E5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
A-quartal trichord,B4
A-major triad,A4
B-quartal tetramirror,B4
A-major triad,C#5
E-dominant seventh chord,B4
A-major triad,A4
A-major triad,A4
E-major triad,E5
Major Third with octave doublings above E,E5
A-major triad,E5
A-major triad,E5
D-major triad,F#5
E-major triad,E5
E-dominant seventh chord,D5
A-major triad,C#5
E-major triad,B4
A-major triad,C#5
D#-diminished triad,D#5
E-major triad,E5
E-quartal trichord,E5
Perfect Fifth with octave doublings above B,F#5
G#-minor triad,D#5
E-major triad,E5
E-major triad,E5
A-major triad,E5
E-major triad,E5
E-major triad,E5
E-incomplete dominant-seventh chord,D5
A-major triad,C#5
Perfect Fourth with octave doublings above A,D5
A-major triad,E5
D-major triad,D5
D-major seventh chord,C#5
E-major triad,B4
C#-minor triad,E5
D-major triad,D5
Major Third with octave doublings above A,C#5
B-minor seventh chord,B4
G#-half-diminished seventh chord,B4
C#-major triad,C#5
F#-minor triad,A4
G#-quartal tetramirror,B4
F#-minor seventh chord,C#5
B-minor triad,D5
C#-minor triad,E5
F#-dominant seventh chord,E5
B-minor triad,D5
F#-minor triad,C#5
B-minor seventh chord,B4
E-major triad,B4
A-major triad,A4
D-major triad,D4
B-minor triad,D4
D-quartal trichord,E4
D-major triad,F#4
E-dominant seventh chord,G#4
F#-minor triad,A4
B-minor seventh chord,A4
E-incomplete dominant-seventh chord,G#4
A-major triad,A4
D-major triad,F#4
E-minor triad,G4
D-major triad,F#4
D-quartal trichord,E4
B-minor triad,D4
E-minor seventh chord,E4
D-major triad,D4
A-major triad,E4
A-major triad,E4
F#-minor triad,F#4
E-minor triad,G4
C-major triad,G4
F#-half-diminished seventh chord,F#4
C#-incomplete minor-seventh chord,E4
B-major triad,F#4
E-minor triad,E4
B-major triad,F#4
B-major triad,F#4
B-dominant seventh chord,F#4
Minor Third with octave doublings above E,G4
F#-quartal tetramirror,A4
E-minor triad,B4
C#-half-diminished seventh chord,B4
F#-dominant seventh chord,A#4
Minor Third with octave doublings above B,B4
F#-major triad,C#5
B-minor triad,D5
B-minor triad,F#4
C#-diminished triad,G4
D-major triad,F#4
D-quartal trichord,E4
A-major triad,E4
D-major triad,A4
G-major triad,B4
F#-minor triad,A4
G-major seventh chord,G4
D-major triad,F#4
E-minor seventh chord,E4
D-quartal trichord,E4
A-tritone quartal tetrachord,D4
D-major triad,D4
G-major triad,B5
G-locrian hexachord,A5
F#-minor-second diminished tetrachord,A5
G-major triad,G5
G-major triad,G5
E-minor seventh chord,E6
D-tritone quartal tetrachord,D6
G-major triad,D6
Major Third with octave doublings above G,G5
F#-minor-second diminished tetrachord,F#5
G-major triad,G5
E-minor seventh chord,E6
D-tritone quartal tetrachord,D6
G-major triad,D6
Major Third with octave doublings above G,G5
F#-minor-second diminished tetrachord,F#5
G-major triad,G5
E-minor triad,G5
E-minor-major ninth chord,F#5
D#-phrygian trichord,F#5
Minor Third with octave doublings above E,E5
Minor Third with octave doublings above E,E5
C-major triad,C6
E-minor triad,B5
B-perfect-fourth major tetrachord,B5
D#-phrygian trichord,E5
D#-minor-second diminished tetrachord,D#5
E-minor triad,E5
C-major seventh chord,C6
E-minor triad,B5
B-perfect-fourth major tetrachord,B5
D#-phrygian trichord,E5
D#-minor-second diminished tetrachord,D#5
Minor Third with octave doublings above E,E5
D-major triad,F#5
D-locrian hexachord,E5
C#-minor-second diminished tetrachord,E5
Major Third with octave doublings above D,D5
Major Third with octave doublings above D,D5
B-minor triad,B5
A-tritone quartal tetrachord,A5
D-major triad,A5
Major Third with octave doublings above D,D5
C#-minor-second diminished tetrachord,C#5
Major Third with octave doublings above D,D5
B-minor triad,B5
A-tritone quartal tetrachord,A5
D-major triad,A5
Major Third with octave doublings above D,D5
C-major-seventh pentacluster,C#5
Major Third with octave doublings above D,D5
G-major triad,B5
G-locrian hexachord,A5
F#-minor-second diminished tetrachord,A5
G-major triad,G5
G-major triad,G5
E-minor seventh chord,E6
D-tritone quartal tetrachord,D6
G-major triad,D6
Major Third with octave doublings above G,G5
F#-minor-second diminished tetrachord,F#5
G-major triad,G5
E-minor seventh chord,E6
D-tritone quartal tetrachord,D6
G-major triad,D6
Major Third with octave doublings above G,G5
F#-minor-second diminished tetrachord,F#5
G-major triad,G5
Major Third with octave doublings above E,E4
F-major triad,A4
G-major triad,G4
F-major seventh chord,F4
C-major-second major tetrachord,E4
D-minor seventh chord,D4
E-major triad,E4
E-major triad,B4
A-minor triad,C5
F-major triad,C5
B-half-diminished seventh chord,B4
F-all-interval tetrachord,C5
B-half-diminished seventh chord,D5
E-major triad,B4
A-minor triad,A4
A-minor triad,C5
B-diminished triad,B4
D-minor seventh chord,A4
E-minor triad,G4
F-major triad,A4
B-diminished triad,B4
F-major triad,C5
C-major triad,C5
C-major triad,G4
F-major triad,A4
E-half-diminished seventh chord,G4
D-minor triad,F4
C#-minor-second diminished tetrachord,E4
D-minor triad,F4
A-major triad,E4
D-dominant seventh chord,C5
G-major triad,B4
A-quartal tetramirror,C5
G-major triad,D5
C-major triad,C5
E-minor triad,B4
A-minor seventh chord,A4
G-major triad,B4
C-major triad,E4
F-major triad,F4
C-incomplete major-seventh chord,E4
D-minor seventh chord,D4
G-major triad,G4
D-minor triad,F4
E-dominant seventh chord,E4
E-minor triad,B4
E-minor triad,B4
F#-half-diminished seventh chord,C5
E-minor triad,B4
C-major seventh chord,B4
F#-half-diminished seventh chord,A4
B-major triad,B4
G-major triad,D5
G-major triad,D5
E-minor seventh chord,E5
C-major triad,E5
D-major triad,A4
Major Third with octave doublings above D,D5
D-incomplete dominant-seventh chord,C5
G-major triad,B4
G-major triad,B4
C-major triad,G4
A-minor triad,A4
B-major triad,B4
A-quartal trichord,A4
E-minor triad,G4
F#-half-diminished seventh chord,F#4
E-incomplete major-seventh chord,E4
E-minor triad,E4
E-minor triad,B4
C-quartal trichord,C5
G-quartal trichord,D5
G-major triad,B4
C-major triad,C5
C-major seventh chord,B4
A-minor seventh chord,A4
G-quartal trichord,A4
G-major triad,G4
G-major triad,B4
E-minor triad,B4
C-incomplete major-seventh chord,E5
A-major triad,E5
G-quartal trichord,A4
D-major triad,A4
G-major triad,B4
C-all-interval tetrachord,C5
D-major triad,D5
D-major triad,D5
C-major triad,C5
G-major-second major tetrachord,B4
G-quartal trichord,A4
D-major triad,A4
G-major triad,B4
C-major triad,C5
E-dominant seventh chord,D5
E-major triad,B4
A-major-second minor tetrachord,C5
G-major triad,B4
G-quartal trichord,A4
B-major triad,B4
E-minor triad,B4
A-minor triad,A4
E-minor triad,G4
F#-half-diminished seventh chord,F#4
E-major triad,E4
G-major triad,D4
G-major triad,G4
D-major triad,A4
E-minor triad,B4
C-major triad,C5
C-quartal trichord,D5
C-major triad,E5
G-major triad,D5
D-dominant seventh chord,C5
B-minor seventh chord,B4
G-major triad,B4
C-major triad,E5
D-major triad,D5
C-major triad,C5
G-major triad,B4
A-minor seventh chord,A4
A-minor-ninth chord,B4
C-major seventh chord,C5
G-major-second major tetrachord,B4
D-major triad,A4
G-incomplete major-seventh chord,G4
G-major triad,G4
G-major triad,D5
C-major triad,E5
A-major triad,E5
D-major triad,A4
D-major triad,A4
G-major triad,D5
G-major triad,D5
C-major triad,G4
G-major triad,B4
G-quartal trichord,A4
E-minor seventh chord,G4
D-major-second major tetrachord,D4
G-major triad,D5
E-minor seventh chord,D5
A-major triad,C#5
D-major triad,D5
B-minor triad,D5
C-major seventh chord,C5
G-major-second major tetrachord,B4
G-quartal trichord,A4
G-major triad,B4
C-major triad,C5
A-minor seventh chord,A4
G-major triad,G4
C-major triad,G5
A-minor seventh chord,G5
F-major-ninth chord,G5
D-minor triad,F5
D-minor-ninth chord,E5
G-dominant seventh chord,D5
C-major-ninth chord,E5
G-dominant seventh chord,F5
G-major-second major tetrachord,G5
C-major triad,E5
G-major triad,D5
E-minor seventh chord,E5
D-dominant seventh chord,F#5
G-major triad,G5
A-minor seventh chord,G5
D-dominant seventh chord,F#5
G-major triad,G5
C-major triad,E5
D-quartal tetramirror,F5
C-major triad,G5
F-major-ninth chord,G5
F-major-ninth chord,C5
D-minor triad,F5
C-major triad,E5
G-dominant seventh chord,D5
C-major triad,G5
E-minor triad,E5
A-dominant seventh chord,E5
D-minor triad,F5
G-dominant seventh chord,G5
D-major pentatonic,A5
D-quartal tetramirror,D5
C-major-second major tetrachord,E5
G-dominant seventh chord,F5
G-major triad,G5
C-major triad,E5
C-major triad,C5
C-major-ninth chord,D5
A-minor seventh chord,E5
F#-perfect-fourth diminished tetrachord,F#5
G-major triad,G5
G-major pentachord,D5
G-major triad,G5
G-quartal trichord,G5
B-minor seventh chord,F#5
E-major pentatonic,E5
D#-diminished seventh chord,F#5
D#-diminished seventh chord,A5
D#-diminished minor-ninth chord,G5
E-minor triad,E5
A-dominant seventh chord,E5
A-dominant-eleventh,A5
A-dominant-eleventh,G5
A-dominant seventh chord,A5
D-major pentatonic,C6
G-dominant-ninth,B5
A-minor triad,C6
D-minor seventh chord,C6
G-major triad,B5
C-major triad,C6
B-minor triad,F#4
G-major triad,G4
D-major triad,A4
G-major triad,B4
D-major triad,A4
D-major triad,D5
D-major triad,D5
A-major triad,C#5
D-major triad,D5
B-minor triad,D5
F#-major triad,C#5
G-major triad,B4
E-minor triad,E5
B-minor triad,D5
C#-minor seventh chord,C#5
F#-major triad,C#5
B-minor triad,B4
B-minor triad,B4
E-major triad,B4
E-major triad,B4
C#-minor triad,C#5
E-incomplete dominant-seventh chord,D5
A-major triad,C#5
B-incomplete minor-seventh chord,B4
A-major triad,A4
A-quartal trichord,A4
C#-minor triad,G#4
A-major triad,A4
D-major triad,A4
B-minor triad,B4
C#-quartal tetramirror,C#5
B-minor triad,D5
C#-incomplete minor-seventh chord,C#5
B-minor triad,B4
F#-major triad,C#5
B-minor triad,F#4
E-minor triad,G4
F#-minor triad,A4
G-major triad,B4
D-major triad,A4
D-major-second major tetrachord,D5
Perfect Fourth with octave doublings above A,D5
F#-minor triad,C#5
D-major triad,D5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
E-minor triad,B4
E-minor triad,E5
B-minor triad,D5
G#-quartal tetramirror,C#5
F#-major triad,C#5
B-major triad,B4
Major Third with octave doublings above Bb,D5
Eb-major triad,E-5
D-minor triad,F5
G-minor seventh chord,F5
C-minor triad,E-5
Bb-major triad,D5
F-major triad,C5
F-major triad,C5
Bb-major triad,D5
A-diminished triad,E-5
Minor Third with octave doublings above D,F5
G-minor triad,D5
C-minor seventh chord,C5
F-major triad,C5
Bb-major triad,B-4
F-major triad,C5
B-diminished triad,D5
C-minor triad,E-5
C-minor triad,E-5
C-quartal trichord,D5
C-minor-augmented tetrachord,C5
C-minor triad,C5
C-minor triad,E-5
Bb-major triad,F5
Eb-major triad,G5
Eb-major triad,G5
Eb-quartal trichord,F5
Bb-major triad,F5
Bb-tritone quartal tetrachord,E-5
Eb-major triad,E-5
G-minor triad,D5
Eb-major-second major tetrachord,E-5
Bb-major triad,F5
Eb-major triad,B-4
F-dominant seventh chord,E-5
Bb-major triad,D5
F-major triad,C5
F-major triad,C5
Bb-major triad,D5
Eb-all-interval tetrachord,E-5
F-major triad,F5
Bb-major triad,D5
C-minor seventh chord,C5
F-major triad,C5
Bb-major triad,B-4
Bb-major triad,B-4
A-major triad,A4
A-major triad,E4
G#-minor seventh chord,F#4
C#-dominant seventh chord,G#4
F#-minor triad,A4
E-major triad,B4
A-major triad,C#5
D-major triad,A4
A-major triad,C#5
B-quartal tetramirror,D5
C#-minor triad,E5
A-quartal trichord,E5
A-major triad,C#5
B-quartal tetramirror,D5
F#-dominant seventh chord,E5
B-minor triad,D5
F#-minor triad,C#5
A-major triad,C#5
B-minor seventh chord,D5
A-major seventh chord,C#5
G#-half-diminished seventh chord,B4
F#-minor triad,A4
B-minor triad,B4
F#-minor triad,C#5
F#-quartal trichord,C#5
F#-minor triad,A4
F#-minor triad,C#5
D-major triad,D5
E-major triad,E5
E-major triad,E5
A-major triad,C#5
D-quartal trichord,D5
A-major triad,E5
B-minor seventh chord,D5
A-major triad,C#5
A-major triad,C#5
D-major triad,D5
Major Third with octave doublings above A,C#5
A-quartal trichord,B4
A-major triad,A4
B-minor triad,B4
A-major triad,C#5
A-dominant seventh chord,C#5
D-major triad,A4
E-major triad,B4
A-major triad,C#5
F#-minor triad,C#5
B-dominant seventh chord,F#4
E-major-second major tetrachord,G#4
B-dominant seventh chord,A4
E-major triad,G#4
F#-minor seventh chord,F#4
Major Third with octave doublings above E,E4
E-major triad,E4
A-major triad,A4
A-quartal trichord,B4
A-major triad,C#5
G#-half-diminished seventh chord,B4
D-major seventh chord,C#5
B-minor triad,D5
F#-minor triad,C#5
B-minor seventh chord,B4
A-major triad,A4
E-major triad,B4
A-minor triad,C5
B-half-diminished seventh chord,B4
F-incomplete major-seventh chord,A4
G-incomplete dominant-seventh chord,B4
C-major triad,C5
G-quartal trichord,D5
E-half-diminished seventh chord,E5
D-minor triad,D5
A-minor triad,C5
A-quartal trichord,B4
D-minor triad,D5
A-minor triad,C5
G-major triad,B4
C-major triad,C5
E-minor seventh chord,B4
F-major triad,A4
E-half-diminished seventh chord,G4
D-major-second minor tetrachord,F4
E-major triad,E4
E-minor seventh chord,G4
F-major triad,F4
C-major-second major tetrachord,E4
D-minor seventh chord,D4
C-major triad,E4
E-dominant seventh chord,D4
A-minor triad,C4
E-quartal tetramirror,D4
D-minor triad,D4
A-minor triad,E4
E-minor triad,B4
A-minor triad,C5
A-lydian tetrachord,B4
B-half-diminished seventh chord,A4
C-major triad,G4
D-dominant seventh chord,A4
G#-diminished triad,B4
Minor Third with octave doublings above A,C5
D-minor triad,D5
A-quartal trichord,B4
C-major triad,E5
G-major triad,D5
Perfect Fourth with octave doublings above G,C5
G-major triad,B4
A-quartal tetramirror,C5
G-major triad,D5
G-quartal trichord,A4
E-incomplete minor-seventh chord,G4
D-major-second minor tetrachord,F4
D-quartal trichord,E4
D-minor triad,D4
C-major triad,G4
A-minor triad,A4
E-minor triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
B-half-diminished seventh chord,B4
F-major triad,A4
C-major triad,C5
G-major triad,B4
A-dominant seventh chord,A4
E-minor triad,G4
B-diminished triad,F4
C-major triad,E4
F-major triad,F4
G-dominant seventh chord,G4
D-major-second minor tetrachord,F4
B-quartal tetramirror,E4
A-quartal trichord,E4
G-major triad,G4
D-Kumoi pentachord,A4
G-major triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
G-major triad,B4
G-quartal trichord,A4
G-major triad,B4
E-minor triad,B4
G-major triad,B4
D-major triad,A4
G-major seventh chord,B4
A-minor triad,C5
G-major triad,B4
D-dominant seventh chord,A4
E-minor triad,G4
G-major-second major tetrachord,A4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,G4
D-major triad,A4
G-dominant seventh chord,B4
C-major triad,C5
E-dominant seventh chord,B4
A-minor triad,A4
F-all-interval tetrachord,B4
B-half-diminished seventh chord,B4
A-minor triad,A4
D-major triad,A4
G-major triad,B4
F-major triad,C5
E-dominant seventh chord,D5
A-minor triad,C5
E-minor triad,B4
A-minor seventh chord,A4
B-major triad,B4
E-minor triad,B4
G-major triad,B4
D-major-second major tetrachord,A4
E-minor triad,B4
D#-diminished seventh chord,C5
E-minor triad,B4
A-dominant seventh chord,A4
E-minor triad,G4
G-major-second major tetrachord,A4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,D5
D-major triad,D5
G-major triad,D5
G-major triad,D5
E-minor triad,E5
F-major triad,F5
C-major triad,E5
C-quartal trichord,D5
C-major triad,C5
D-major triad,D5
G-major triad,B4
A-incomplete minor-seventh chord,A4
G-major triad,G4
D-major triad,A4
E-minor triad,B4
A-dominant seventh chord,C#5
D-major triad,D5
E-quartal tetramirror,E5
Major Third with octave doublings above D,D5
G-major triad,D5
G-major triad,G5
D-major triad,F#5
A-major triad,E5
F#-major triad,F#5
G-major triad,G5
G-incomplete major-seventh chord,F#5
A-major triad,E5
D-major triad,D5
G-major triad,D5
E-minor triad,G5
C-quartal trichord,D5
C-major triad,E5
E-minor triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
E-major triad,B4
G-major triad,B4
D-major triad,A4
B-minor seventh chord,B4
C-major triad,C5
G-major triad,B4
A-minor triad,A4
A-major triad,E4
D-major triad,F#4
G-major triad,G4
Bb-major triad,D5
Eb-major triad,B-4
A-diminished triad,C5
Major Third with octave doublings above Bb,D5
C-incomplete minor-seventh chord,E-5
Bb-major triad,F5
Eb-major seventh chord,E-5
Bb-major triad,D5
G-minor triad,D5
Eb-major triad,E-5
Bb-major triad,F5
Bb-major triad,F5
F-major triad,C5
D-minor triad,D5
G-incomplete minor-seventh chord,B-4
F-major triad,A4
F-dominant seventh chord,F4
Bb-major triad,B-4
C-minor triad,C5
Bb-major triad,D5
Bb-major triad,D5
C-quartal tetramirror,C5
F-major triad,C5
D-major triad,D5
G-minor triad,B-4
F-major triad,C5
Bb-major triad,D5
C-quartal tetramirror,E-5
G-dominant seventh chord,F5
C-minor triad,E-5
G-major triad,D5
G-minor triad,D5
D-minor triad,F5
F-major triad,F5
F-major triad,C5
Bb-major triad,D5
G-minor seventh chord,B-4
F-major triad,A4
D-minor triad,F4
G-minor triad,B-4
F-major triad,C5
Bb-major triad,D5
Eb-major triad,E-5
Bb-major triad,D5
C-incomplete minor-seventh chord,C5
F-major triad,C5
Bb-major triad,B-4
D-minor triad,A4
D-minor triad,A4
C#-diminished seventh chord,G4
D-minor triad,F4
E-half-diminished seventh chord,E4
D-minor triad,D4
D-minor triad,A4
G-dominant seventh chord,B4
C-major triad,C5
A-dominant seventh chord,A4
D-major triad,D5
A-major triad,C#5
G-minor triad,D5
E-half-diminished seventh chord,E5
D-minor triad,F5
E-quartal tetramirror,E5
